firstname,lastname,password,telephone,upn,sam,ou,group,spgroup
Rickard,Jarnling,[RicRic1114[,0707121118,ricjar18@osthyvel.se,ricjar18,Brie,ButiksPersonal,
Amir,Jawhari,#amiami1997#,0707121119,amijaw19@osthyvel.se,amijaw19,Brie,FabriksPersonal,
Ludvig,Jerner,&LuDLuDR108&,0707121120,ludjer20@osthyvel.se,ludjer20,Brie,FabriksPersonal,
Lennart,Juzovitskij,%LeNLeN1108%,0707121121,lenjuz21@osthyvel.se,lenjuz21,Brie,FabriksPersonal,
Zephyro,Kemstedt,%ZePZePm122%,0707121122,zepkem22@osthyvel.se,zepkem22,Brie,FabriksPersonal,
Rein,Kool,%ReiRei3114%,0707121123,reikoo23@osthyvel.se,reikoo23,Brie,FabriksPersonal,
Ekapoje,Laddakolm,(ekaekaD101(,0707121124,ekalad24@osthyvel.se,ekalad24,Brie,FabriksPersonal,
Alexander,Litholm,)aLeaLeT597),0707121125,alelit25@osthyvel.se,alelit25,Brie,Ekonom,
Anton,Lorge,_aNTaNToR97_,0707121126,antlor26@osthyvel.se,antlor26,Brie,Ekonom,
Joel,Lundin,=JoeJoe7106=,0707121127,joelun27@osthyvel.se,joelun27,Brie,Provsmakare,
Martin,Machl,!maRmaRc109!,0707121128,marmac28@osthyvel.se,marmac28,Brie,Provsmakare,
Johanne,Mjeldheim-Wærp,=JoHJoH9106=,0707121129,johmje29@osthyvel.se,johmje29,Brie,ITPersonal,
Rasmus,Nielsen,!RasRas3114!,0707121130,rasnie30@osthyvel.se,rasnie30,Brie,ITPersonal,Praktikant
Anders,Österholm,_aNDaND3197_,0707121131,andost31@osthyvel.se,andost31,Brie,HRPersonal,Konsult
Kazi,Rashid,!kaZkaZ3107!,0707121132,kazras32@osthyvel.se,kazras32,Brie,PRPersonal,Konsult
Mehsum,Rupani,%meHmeH3109%,0707121133,mehrup33@osthyvel.se,mehrup33,Brie,KontorsPersonal,Ledning
Henrik,Söderkvist,%HeNHeN3104%,0707121134,hensod34@osthyvel.se,hensod34,Brie,KontorsPersonal,Ledning
Anders,Sörlin,_aNDaND3597_,0707121135,andsor35@osthyvel.se,andsor35,Brie,KontorsPersonal,Ledning
Olle,Sundin,)oLLoLL3111),0707121136,ollsun36@osthyvel.se,ollsun36,Brie,KontorsPersonal,Ledning
Johan,Svedlund,=JoHJoH7106=,0707121137,johsve37@osthyvel.se,johsve37,Brie,KontorsPersonal,Ledning
Rasmus,Tolfes,!RasRas3114!,0707121138,rastol38@osthyvel.se,rastol38,Brie,KontorsPersonal,Ledning
Michael,Vestergaard,[micmic9109[,0707121139,micves39@osthyvel.se,micves39,Brie,KontorsPersonal,Ledning
